link,title,date,text,text_sum,client,client_score
https://tass.ru/ekonomika/18648301,"""МТС Энтертейнмент"" купила Ticketscloud",2023-09-04 12:00:00,"МОСКВА, 4 сентября.                         /              ТАСС       /.                            Дочерняя компания сотового оператора                                   МТС                         ""                                   МТС Энтертейнмент                         "" приобрела 85% долей билетного сервиса для организации мероприятий Ticketscloud.                     Об этом сообщает пресс-служба оператора.                  ""                           ПАО ""МТС""       объявляет о том, что ее дочерняя компания ""              МТС Энтертейнмент       "" подписала обязывающую документацию о приобретении 85% долей              ООО ""Тикетсклауд""       (платформа Ticketscloud), одного из лидирующих в России сервисов полного цикла для организаторов мероприятий"", - сказано в сообщении.                     Стоимость предстоящей сделки в сообщении не раскрывается.                   Как полагают в компании, сделка позволит укрепить позиции              МТС       на рынке продаж билетов, значительно увеличить долю рынка и продавать более 11 млн билетов на мероприятия ежегодно.          Согласно сообщению,              Ticketscloud       будет работать в качестве отдельного направления, подключая организаторов мероприятий к билетным витринам              МТС       и предлагая им маркетинговые возможности экосистемы.          Кроме того,              Ticketscloud       сохранит свою текущую команду и операционное управление, а также в проекте останутся и основатели компании -              Егор Егерев       и              Катерина Кириллова       .          ""Компании будут совместно развивать цифровые и мобильные продукты для концертных и театральных организаторов и выходить на новые рынки.          В ближайших планах - интеграция программ лояльности              МТС       в продукты и сервисы Ticketscloud.          Клиенты              МТС Live       получат возможность купить билеты практически на все мероприятия, которые проходят в России.          Вместе компании рассчитывают занять более 30% билетного рынка к концу 2023 года"", - добавили в              МТС       .                     ""                           МТС Энтертейнмент       "" - дочерняя компания, объединяющая проекты и активы              МТС       в сфере офлайн-развлечений, в которые входят: билетные сервисы              МТС Live       и              Ticketland       , приложение              МТС Live App       , направление по организации концертных и театральных выступлений, продюсирование мероприятий и федеральная сеть              МТС Live Холл       с площадками в Москве, Санкт-Петербурге, Челябинске, Воронеже и Екатеринбурге.                             Ticketscloud - персональный цифровой помощник для организации мероприятий.                        Выручка                    Ticketscloud            в 2022 году составила более 200 млн рублей.","Дочерняя компания сотового оператора                                   МТС                         ""                                   МТС Энтертейнмент                         "" приобрела 85% долей билетного сервиса для организации мероприятий Ticketscloud. ""                           ПАО ""МТС""       объявляет о том, что ее дочерняя компания ""              МТС Энтертейнмент       "" подписала обязывающую документацию о приобретении 85% долей              ООО ""Тикетсклауд""       (платформа Ticketscloud), одного из лидирующих в России сервисов полного цикла для организаторов мероприятий"", - сказано в сообщении. Как полагают в компании, сделка позволит укрепить позиции              МТС       на рынке продаж билетов, значительно увеличить долю рынка и продавать более 11 млн билетов на мероприятия ежегодно. Вместе компании рассчитывают занять более 30% билетного рынка к концу 2023 года"", - добавили в              МТС       . ""                           МТС Энтертейнмент       "" - дочерняя компания, объединяющая проекты и активы              МТС       в сфере офлайн-развлечений, в которые входят: билетные сервисы              МТС Live       и              Ticketland       , приложение              МТС Live App       , направление по организации концертных и театральных выступлений, продюсирование мероприятий и федеральная сеть              МТС Live Холл       с площадками в Москве, Санкт-Петербурге, Челябинске, Воронеже и Екатеринбурге.",мтс,
https://www.vedomosti.ru/business/news/2023/09/04/993262-dochka-mts-priobrela-ticketscloud,«Дочка» МТС купила сервис по покупке билетов Ticketscloud,2023-09-04 12:00:00,"Дочернее предприятие                           МТС                                             «                           МТС                                             Энтертейнмент», владеющее сервисами                 Ticketland                                  ,                 Ponominalu                                  и                 МТС Live                                  , приобрело сервис по покупке билетов Ticketscloud. Об этом в разговоре с                           РБК                                  сообщил                руководитель структуры                 МТС                         Михаил Минин                .                                                                                             Как отметил основатель сервиса                 Егор Егерев                                  , по итогам сделки у него и его партнера                 Карины Кирилловой                                  останется 15%                 Ticketscloud                                  , остальная доля перешла «                 МТС Энтертейнмент                                  ».                 Сумма сделки не уточняется.                                                                                                     О переговорах по покупке сервиса стало известно в марте этого года. Первым об этом                 сообщил                «                 Коммерсантъ                ». К тому моменту переговоры уже достигли финальной стадии.                 По информации издания, актив был оценен в 0,5-2 млрд руб.                                                                                               Минин                объяснил интерес к покупке сервиса тем, что он «пережил падение концертного рынка сначала на фоне пандемии, а потом на фоне специальной военной операции».                           Точную сумму сделки он не назвал, но подтвердил, что полный выкуп компании должен произойти в течение двух лет.                                                                                                              Билетный агрегатор                 Ticketscloud                                  был основан в 2014 г. Согласно данным                 ЕГРЮЛ                                  , до сих пор доли владения компанией распределены следующим образом:                 Егереву                                  принадлежат 15% компании, оставшиеся 85% – у зарегистрированной на Британских Виргинских островах                 Ticketscloud Ltd                                  .                           По итогам 2022 г. чистая прибыль составила 80 млн руб. против убытка в 8 млн руб. в 2021 г.","Дочернее предприятие                           МТС                                             «                           МТС                                             Энтертейнмент», владеющее сервисами                 Ticketland                                  ,                 Ponominalu                                  и                 МТС Live                                  , приобрело сервис по покупке билетов Ticketscloud. Об этом в разговоре с                           РБК                                  сообщил                руководитель структуры                 МТС                         Михаил Минин                . Как отметил основатель сервиса                 Егор Егерев                                  , по итогам сделки у него и его партнера                 Карины Кирилловой                                  останется 15%                 Ticketscloud                                  , остальная доля перешла «                 МТС Энтертейнмент                                  ». По информации издания, актив был оценен в 0,5-2 млрд руб.                                                                                               Минин                объяснил интерес к покупке сервиса тем, что он «пережил падение концертного рынка сначала на фоне пандемии, а потом на фоне специальной военной операции». Билетный агрегатор                 Ticketscloud                                  был основан в 2014 г. Согласно данным                 ЕГРЮЛ                                  , до сих пор доли владения компанией распределены следующим образом:                 Егереву                                  принадлежат 15% компании, оставшиеся 85% – у зарегистрированной на Британских Виргинских островах                 Ticketscloud Ltd                                  .",мтс,
https://1prime.ru/Stocks/20230904/841649916.html,Российский рынок акций чуть ускорил рост,2023-09-04 12:00:00,"МОСКВА, 4 сен —             ПРАЙМ            .          Российский рынок акций плавно ускоряет темы роста во второй половине торгов понедельника и повышается почти на 1% на позитивном внешнем фоне, слабом рубле и отложенном спросе, следует из данных           Московской биржи          и комментариев аналитиков.                                                 Индекс           Мосбиржи                      к 15.07 мск растет на 0,96%, до 3262,4 пункта — максимума с 21 февраля 2022 года; долларовый индекс           РТС                      — на 0,56%, до 1061,38 пункта.             Ноябрьский фьючерс на нефть марки Brent в это же время почти не меняется, понижаясь на символические 0,06%, до 88,51 доллара за баррель.                                                                                                                                                                                                                                           ""Российские фондовые индексы усилили подъем в понедельник, при этом индекс                         Мосбиржи         обновил максимум с февраля прошлого года.        Поддержку отечественным акциям оказывают в целом достаточно оптимистичные настроения на зарубежных фондовых площадках, в том числе после объявленных на прошлой неделе китайскими властями мер поддержки экономики.         Помимо этого, продолжил ослабление курс рубля"", — говорит                  Игорь Додонов         из ""                  Финама         "".                   Дополнительную поддержку росту сегодня оказывает отложенный спрос на бумаги, сформировавшийся в пятницу из-за опасений инвесторов реализации каких-либо рисков на выходных, добавляет                         Дмитрий Бабин         из компании ""                  БКС Мир инвестиций         "".                                                    ЛИДЕРЫ                      РОСТА         И                  ПАДЕНИЯ КОТИРОВОК                                                                                                                           В лидерах роста капитализации в отсутствие новостей оказываются низколиквидные акции                         Ашинского металлургического завода         (+14,48%), а также расписки ""                  Русагро         "" (13%).                          Также существенно дорожают расписки                                 VK               (+3,89%), акции ""                         Соллерса               "" (+6,86%), ""                         Русала               "" (+3,41%) и ""                         Русснефти               "" (+4,71%).                        ""Глава ""                         Русснефти         ""                  Евгений Толочек         ранее в сентябре сообщил, что компания продолжает вести высокоэффективное бурение, а после периода жесткой экономии в начале года прогнозы на вторую половину текущего года оптимистичные в связи с нормализацией дисконта между марками Brent и Urals"", — напомнила                  Елена Кожухова         из компании ""                  Велес капитал         "".                                                                                                                               А бумаги                         VK         дорожают на благодаря объявлению о выходе из бета-версии и официальном запуске видеоплатформы ""                  VK Видео         "", которая должна увеличить доходы компании от рекламы — таково мнение                  Владимира Чернова         из                  Freedom Finance Global         .                                                    Снижение котировок демонстрируют расписки ""                                 Циана               "" (-0,65%), акции ""                         Юнипро               "" (-0,27%), расписки                         Noventiq               (-0,26%) и ""                         Эталона               "" (-0,19%).                               ПРОГНОЗЫ                                                                                                                                  ""Учитывая довольно спокойный ход торгов в мире на фоне биржевого выходного в США, российские акции имеют все шансы завершить в неплохом плюсе сегодняшние торги.             Хотя нельзя исключать некоторой фиксации прибыли ближе к концу сессии"", — полагает         Додонов        .               По мнению                         Чернова         , торги понедельника индекс                  Мосбиржи         закроет в рамках диапазона 3200-3290 пунктов,                  РТС         — 1035-1075 пунктов.                   Что касается более длинного горизонта, то, как считает                         Александр Фетисов         из                  Россельхозбанка         , в течение сентября индекс                  Мосбиржи         может преодолеть отметку в 3300 пунктов.","Российский рынок акций плавно ускоряет темы роста во второй половине торгов понедельника и повышается почти на 1% на позитивном внешнем фоне, слабом рубле и отложенном спросе, следует из данных           Московской биржи          и комментариев аналитиков. Индекс           Мосбиржи                      к 15.07 мск растет на 0,96%, до 3262,4 пункта — максимума с 21 февраля 2022 года; долларовый индекс           РТС                      — на 0,56%, до 1061,38 пункта. ""Российские фондовые индексы усилили подъем в понедельник, при этом индекс                         Мосбиржи         обновил максимум с февраля прошлого года. ЛИДЕРЫ                      РОСТА         И                  ПАДЕНИЯ КОТИРОВОК                                                                                                                           В лидерах роста капитализации в отсутствие новостей оказываются низколиквидные акции                         Ашинского металлургического завода         (+14,48%), а также расписки ""                  Русагро         "" (13%). По мнению                         Чернова         , торги понедельника индекс                  Мосбиржи         закроет в рамках диапазона 3200-3290 пунктов,                  РТС         — 1035-1075 пунктов.",русагро,
https://www.forbes.ru/tekhnologii/495795-docka-mts-kupila-biletnyj-agregator-ticketscloud,«Дочка» МТС купила билетный агрегатор Ticketscloud,2023-09-04 12:00:00,"«Дочка»                           МТС            , занимающаяся в том числе продажей билетов на массовые мероприятия, приобрела 85% билетного агрегатора Ticketscloud, говорится в сообщении оператора.          Сумма и другие условия сделки там не уточняются.       Покупка позволит укрепить позиции              МТС       на рынке продаж билетов, увеличить долю рынка и продавать более 11 млн билетов на мероприятия в год, утверждает оператор.          Вместе компании рассчитывают занять более 30% билетного рынка к концу текущего года.          После сделки              Ticketscloud       будет работать в качестве отдельного направления, подключая организаторов мероприятий к билетным витринам              МТС       и предлагая им маркетинговые возможности экосистемы, отмечается в пресс-релизе.               Компании будут совместно развивать цифровые и мобильные продукты для концертных и театральных организаторов и выходить на новые рынки.              Оставшиеся 15%              Ticketscloud       будут у основателей сервиса              Егора Егерева       и              Катерины Кирилловой       , пишет              РБК       .          По информации              ЕГРЮЛ       , сейчас 15%              ООО «Тикетсклауд»       принадлежит              Егереву       и еще 85% —              Ticketscloud Ltd       , зарегистрированному на Британских Виргинских островах.          Долю этого юрлица и купила «              МТС Энтертейнмент       », отмечает              РБК       .                     После покупки в 2018 году операторов                           Ticketland                  и                           Ponominalu                  , за которые                           МТС                  совокупно заплатила 3,6 млрд рублей, это стало крупнейшей сделкой на рынке билетных агрегаторов, сказал                           РБК                  глава «                           МТС Энтертейнмент                  »                           Михаил Минин                  .                   По его словам, при выполнении согласованных бизнес-показателей стоимость выкупа компании, который предусмотрен в течение двух лет, составит до 900 млн рублей.                     По данным                           СПАРК                  , выручка                           ООО «Тикетсклауд»                  выросла за года почти на 90% и в 2022 году достигла 211,89 млн рублей, а чистая прибыль составила 79,59 млн рублей при том, что в 2021-м был зафиксирован убыток в 8,05 млн рублей.","«Дочка»                           МТС            , занимающаяся в том числе продажей билетов на массовые мероприятия, приобрела 85% билетного агрегатора Ticketscloud, говорится в сообщении оператора. Покупка позволит укрепить позиции              МТС       на рынке продаж билетов, увеличить долю рынка и продавать более 11 млн билетов на мероприятия в год, утверждает оператор. После сделки              Ticketscloud       будет работать в качестве отдельного направления, подключая организаторов мероприятий к билетным витринам              МТС       и предлагая им маркетинговые возможности экосистемы, отмечается в пресс-релизе. После покупки в 2018 году операторов                           Ticketland                  и                           Ponominalu                  , за которые                           МТС                  совокупно заплатила 3,6 млрд рублей, это стало крупнейшей сделкой на рынке билетных агрегаторов, сказал                           РБК                  глава «                           МТС Энтертейнмент                  »                           Михаил Минин                  . По данным                           СПАРК                  , выручка                           ООО «Тикетсклауд»                  выросла за года почти на 90% и в 2022 году достигла 211,89 млн рублей, а чистая прибыль составила 79,59 млн рублей при том, что в 2021-м был зафиксирован убыток в 8,05 млн рублей.",мтс,
https://iz.ru/1568987/2023-09-04/rosneft-i-russpass-zapustili-aktciiu-dlia-avtoturistov-puteshestvui-v-moskvu,«Роснефть» и Russpass запустили акцию для автотуристов «Путешествуй в Москву»,2023-09-04 12:00:00,"«                    Роснефть       », сервис планирования путешествий              Russpass       совместно со столичным комитетом по туризму запустили проект для автомобилистов «Путешествуй в Москву».               Об этом говорится в сообщении нефтяной компании.          Отмечается, что для автотуристов, зарегистрированных в программе лояльности «Семейная команда», действуют спецпредложения от       Russpass      (например, особые условия бронирования отелей).       В акции участвуют более 200 АЗС компании, расположенные в восьми регионах на западе России.               Проект реализуется в рамках меморандума о сотрудничестве, подписанного «                    Роснефтью            » и                    Мостуризмом            на XXVI Петербургском международном экономическом форуме (ПМЭФ).              Документ предполагает работу сторон с целью стимулирования спроса на внутренний туризм и продвижения туристического потенциала российских регионов.          Ранее «              Роснефть       » запустила собственную информационно-сервисную платформу для туристов «Горизонты России: Поехали с нами!». Она представляет из себя агрегатор туристических маршрутов.          Розничная сеть компании является крупнейшей в России по географическому покрытию и количеству станций (в общей сложности «              Роснефть       » управляет около 3 тыс.      АЗС). На заправках работают магазины, кафе, аптеки и автоматические приемные пункты химчистки. Также на АЗС в ряде регионов появились фудтраки.","«                    Роснефть       », сервис планирования путешествий              Russpass       совместно со столичным комитетом по туризму запустили проект для автомобилистов «Путешествуй в Москву». Отмечается, что для автотуристов, зарегистрированных в программе лояльности «Семейная команда», действуют спецпредложения от       Russpass      (например, особые условия бронирования отелей). Проект реализуется в рамках меморандума о сотрудничестве, подписанного «                    Роснефтью            » и                    Мостуризмом            на XXVI Петербургском международном экономическом форуме (ПМЭФ). Документ предполагает работу сторон с целью стимулирования спроса на внутренний туризм и продвижения туристического потенциала российских регионов. Розничная сеть компании является крупнейшей в России по географическому покрытию и количеству станций (в общей сложности «              Роснефть       » управляет около 3 тыс.      АЗС).",роснефть,
https://1prime.ru/legal/20230904/841646483.html,"""Транснефть"" подала иск к ""Роснефти""",2023-09-04 12:00:00,"МОСКВА, 4 сен —             ПРАЙМ            .                                                              Арбитражный суд Москвы                          зарегистрировал иск компании ""                                       Транснефть                          "", требующей взыскать с ""                                       Роснефти                          "" около 4,8 миллиарда рублей, следует из информации в картотеке арбитражных дел.                                                                                   Иск поступил в суд 31 августа, к рассмотрению он пока не принят.           Основания исковых требований в карточке дела на данный момент не указаны.                               В прошлом году компании обменялись двумя крупными исками.                              ""                         Роснефть               "" потребовала взыскать с трубопроводной компании убытки из-за инцидента с загрязненной нефтью в трубопроводе ""Дружба"" в 2019 году – около 3,4 миллиарда рублей, около 120,9 миллиона долларов, более 73,9 миллиона польских злотых, около 48 тысяч евро и около 6 тысяч фунтов стерлингов, что в общей сумме по курсу                         ЦБ               на момент подачи иска в мае 2022 года составляло около 11,9 миллиарда рублей.                                                                                                                                                                                                                                                Суд первой инстанции иск отклонил, рассмотрение жалобы ""                         Роснефти         "" в                  Девятом арбитражном апелляционном суде         еще продолжается, поэтому решение в силу пока не вступило.                          Параллельно ""                                 Транснефть               "" потребовала взыскать с крупнейшей российской нефтяной компании более 2 миллиардов рублей.                        Иск был подан в августе 2022 года.                        Пресс-секретарь, советник президента ""                         Транснефти               ""                         Игорь Демин               сообщил тогда                         РИА Новости               , что он связан с неисполнением ответчиком условий договора транспортировки и хранения нефти ""в части оплаты оказанных компанией услуг"".                  Рассмотрение дела проходит в арбитражном суде Москвы.                   Оба спора слушаются в закрытом режиме.                                                                                                                                    Газета ""                         Коммерсант         "" 1 сентября со ссылкой на источники написала, что стороны договорились об урегулировании разногласий.                   По данным издания, ""                         Роснефть               "" откажется от судебных претензий к ""                         Транснефти               "", связанных с загрязнением нефтепровода ""Дружба"", при этом ""                         Транснефть               "" обязуется продлить до конца мая 2025 года срок, в который она будет готова компенсировать ""                         Роснефти               "" убытки за загрязненную нефть.                               Также, по данным газеты, ""                                 Транснефть                      "" обязуется отказаться от иска на 2 миллиарда рублей за хранение нефти, после того как ""                                 Роснефть                      "" покроет часть суммы — около 400 миллионов рублей.","Арбитражный суд Москвы                          зарегистрировал иск компании ""                                       Транснефть                          "", требующей взыскать с ""                                       Роснефти                          "" около 4,8 миллиарда рублей, следует из информации в картотеке арбитражных дел. Суд первой инстанции иск отклонил, рассмотрение жалобы ""                         Роснефти         "" в                  Девятом арбитражном апелляционном суде         еще продолжается, поэтому решение в силу пока не вступило. Параллельно ""                                 Транснефть               "" потребовала взыскать с крупнейшей российской нефтяной компании более 2 миллиардов рублей. По данным издания, ""                         Роснефть               "" откажется от судебных претензий к ""                         Транснефти               "", связанных с загрязнением нефтепровода ""Дружба"", при этом ""                         Транснефть               "" обязуется продлить до конца мая 2025 года срок, в который она будет готова компенсировать ""                         Роснефти               "" убытки за загрязненную нефть. Также, по данным газеты, ""                                 Транснефть                      "" обязуется отказаться от иска на 2 миллиарда рублей за хранение нефти, после того как ""                                 Роснефть                      "" покроет часть суммы — около 400 миллионов рублей.",транснефть,
https://tass.ru/ekonomika/18655229,"""Молдовагаз"" обязали передать транспортную сеть в управление румынской компании",2023-09-04 12:00:00,"КИШИНЕВ, 4 сентября.                         /              ТАСС       /.                    Комиссия       по              чрезвычайным ситуациям       правительства Молдавии обязала ""              Молдоватрансгаз       "", которое является дочерним предприятием российско-молдавской компании ""              Молдовагаз       "", передать под управление румынской компании ""              Вестмолдтрансгаз       "" свою газотранспортную сеть.                     ""                           Молдоватрансгаз       "" по запросу ""              Вестмолдтрансгаз       "" заключит контракт об управлении газопроводом для обеспечения взаимоподключения и совместимости сетей, которые находятся под управлением ""              Вестмолдтрансгаз       "" и ""              Молдоватрансгаз       "", - говорится в постановлении комиссии, которое было опубликовано пресс-службой правительства.                     По данным министерства энергетики, ""                           Вестмолдтрансгаз       "" подписала договор аренды газотранспортной сети с ""              Молдоватрансгазом       "" сроком на пять лет.          Соглашение не предусматривает сети, которые находятся под управлением ""              Тираспольтрансгаза       "" (непризнанное Приднестровье).               Как прокомментировали корреспонденту                    ТАСС            ознакомившиеся с контрактом эксперты, румынская компания будет управлять газотранспортной сетью Молдавии и оплачивать ""                    Молдоватрансгазу            "" арендную плату.                         Акционерами ""                           Вестмолдтрансгаза       "" выступают румынский ""              Трансгаз       "" (75%) и              Европейский банк реконструкции и развития       (25%).          Ранее румынская компания построила и управляет трансграничным газопроводом Яссы - Унгены - Кишинев.          ""              Молдовагаз       "" была создана в 1999 году.          Крупнейшим акционером компании является ""              Газпром       "", контролирующий 50% акций, еще 35,3% принадлежит правительству Молдавии, а 13,44% - Приднестровью.          Свои акции непризнанная республика передала в управление ""              Газпрому       "".                             Ранее власти Молдавии взяли перед ЕС обязательство внедрить положения Третьего энергопакета, что предусматривает разделение ""                           Молдовагаз       "" на три независимые компании, которые займутся поставкой, транспортировкой и распределением газа.          Так была создана ""              Молдоватрансгаз       "", 100% акций которой принадлежит ""              Молдовагазу       "".","Комиссия       по              чрезвычайным ситуациям       правительства Молдавии обязала ""              Молдоватрансгаз       "", которое является дочерним предприятием российско-молдавской компании ""              Молдовагаз       "", передать под управление румынской компании ""              Вестмолдтрансгаз       "" свою газотранспортную сеть. ""                           Молдоватрансгаз       "" по запросу ""              Вестмолдтрансгаз       "" заключит контракт об управлении газопроводом для обеспечения взаимоподключения и совместимости сетей, которые находятся под управлением ""              Вестмолдтрансгаз       "" и ""              Молдоватрансгаз       "", - говорится в постановлении комиссии, которое было опубликовано пресс-службой правительства. По данным министерства энергетики, ""                           Вестмолдтрансгаз       "" подписала договор аренды газотранспортной сети с ""              Молдоватрансгазом       "" сроком на пять лет. Как прокомментировали корреспонденту                    ТАСС            ознакомившиеся с контрактом эксперты, румынская компания будет управлять газотранспортной сетью Молдавии и оплачивать ""                    Молдоватрансгазу            "" арендную плату. Ранее румынская компания построила и управляет трансграничным газопроводом Яссы - Унгены - Кишинев.",газпром,
