link,title,date,text,commodity,commodity_score
https://www.kommersant.ru/doc/6197448,Биржевые цены АИ-95 и летнего дизеля вновь обновили рекорд – Коммерсантъ,2023-09-04 12:00:00,"Стоимость летнего дизельного топлива на         Санкт-Петербургской международной товарно-сырьевой бирже        второй торговый день подряд обновляет рекорд.               Цена топливо достигла 68 278 руб. за тонну (+0,41%).                        Стоимость бензина АИ-95 в ходе торгов поднялась на 0,35%, до 75 030 руб. за тонну.                               Бензин АИ-92 в ходе торгов подорожал на 0,28%, до 64 814 руб. за тонну.                              Цена топлива для реактивных двигателей (авиакеросина) снизилась на 4,55%, до 65 894 руб. за тонну.                        Стоимость топочного мазута увеличилась на 0,82%, до 34 188 руб. за тонну, сжиженных углеводородных газов — до 30 674 руб. за тонну (+4,24%).                        За август цена дизельного топлива на фоне ослабления рубля выросла на 18,5%.                  В конце прошлого месяца вице-премьер России                  Александр Новак         заявил, что правительство работает над мерами по стабилизации ситуации на рынке топлива.             По его словам, в скором времени будет составлен список компаний, которым разрешат экспорт топлива.             О ситуации с бензином в России — в публикации «                  Ъ         » «Бензину отольется курс».        Милена Костерева",газ;бензин;нафта;мазут,
https://www.vedomosti.ru/investments/news/2023/09/04/993393-obschii-obem-torgov,Общий объем торгов на Мосбирже в августе вырос почти на 57%,2023-09-04 12:00:00,"Общий объем торгов на                 Мосбирже                                  в августе 2023 г. вырос на 56,9% до 127,5 трлн руб. Об этом                 говорится                в сообщении торговой площадки.                                                                                             Отмечается, что в августе все рынки продемонстрировали положительную динамику по объему операций.                 В частности, рынок акций вырос в 3,7 раза, срочный рынок – в 1,9 раза, рынок облигаций – на 82,5%, валютный рынок – на 63%, денежный рынок – на 44,7%, рынок драгоценных металлов – в 4,3 раза.                                                                                                     На фондовом рынке объем торгов в августе вырос более чем в 2,5 раза до 5065,6 млрд руб. (максимум с февраля 2022 г.) При этом объем торгов акциями, депозитарными расписками и паями увеличился в 3,7 раза до 3 268,1 млрд руб., среднедневной объем торгов – 142,1 млрд руб.                 (+268% к августу 2022 г.) Объем торгов корпоративными, региональными и государственными облигациями в тот же период вырос на 82,5% до 1,79 трлн руб., а среднедневной объем торгов достиг 78,2 млрд руб.                                                                                                                                Инвестируйте без ограничений                               Доступ к иностранным бумагам, сделки с евро и долларами США, хранение валюты и ценных бумаг – без комиссии                                                                                                                                             Реклама /                       ООО «Ньютон Инвестиции»                                                                                                                                                                                На срочном рынке объем торгов вырос в 1,9 раза до 9,3 трлн руб., что также стало максимальным объемом торгов с февраля 2022 г. Среднедневной объем торгов составил 403,1 млрд руб.                 Здесь лидерами по объему торгов стали фьючерсы на валютные пары «доллар США – российский рубль», «китайский юань – российский рубль», контракты на природный газ, индексы                                  РТС                 и                                  МосБиржи                 .                                                                                                     На валютном рынке объем торгов увеличился на 63% до 34,1 трлн руб.                 В частности, объем торгов инструментами спот вырос на 37,6% до 11,5 трлн руб., объем сделок своп и форвардов составил 22,5 трлн руб.                         Среднедневной объем торгов на валютном рынке вырос на 63% до 1,48 трлн руб.                                                                                                     На денежном рынке объем торгов увеличился на 44,7% до 76,6 трлн руб.                           При этом среднедневной объем операций составил 3 331,4 млрд руб.                                  В общем объеме торгов на этом рынке вырос объем операций репо с центральным контрагентом на 54,3%, до 38,5 трлн руб., объем операций репо с клиринговыми сертификатами участия увеличился на 72,0%, до 22,7 трлн руб.                                                                                                                                                             Торговля драгоценными металлами (спот и своп) на                 Мосбирже                                  выросла в 4,3 раза до 53,5 млрд руб., что стало максимальным значением за всю историю.                 В том числе объем торгов золотом увеличился до 52,3 млрд руб.                (8,9 т), серебром – до 1,2 млрд руб. (16,2 т).                                                                                             Ранее                 Мосбиржа                                           сообщала                , что на срочном рынке 15 августа были установлены сразу два рекорда: дневной объем торгов превысил 700 млрд руб., а сделки в течение дня заключали свыше 67 000 клиентов.                 14 августа торговая площадка зафиксировала абсолютный рекорд активности частных инвесторов – сделки совершили 1,5 млн человек.                                                                                                     Как                 писали                «                 Ведомости                                  », за прошлую неделю акции                 Мосбиржи                                  выросли на 9% до 170,42 руб., вплотную подобравшись к ценам ноября 2021 г. За август они прибавили 27%, всего с начала года – 78%, в то время как ее главный бенчмарк – только 50%. Но опрошенные «                 Ведомостями                » аналитики высказали уверенность, что у площадки, как и у ее бумаг, в этом году еще есть потенциал для роста. Интерес инвесторов к фондовым торгам не иссякает, объемы торгов растут, а волатильность многих акций увеличивается.",золото;серебро;газ,
https://1prime.ru/commodities/20230904/841645587.html,Золото немного дорожает на фоне удешевления доллара,2023-09-04 12:00:00,"МОСКВА, 4 сен —             ПРАЙМ            .          Стоимость золота в понедельник утром показывает небольшой рост, пока американская валюта слабеет, свидетельствуют данные торгов.                                                 По состоянию на 10.35 мск цена декабрьского фьючерса на золото на нью-йоркской бирже           Comex                      растет на 2,7 доллара, или на 0,14%, до 1 969,9 доллара за тройскую унцию. Сентябрьский фьючерс на серебро дешевеет на 0,32% — до 24,48 доллара за унцию.                   Индекс доллара (курс к корзине валют шести стран — торговых партнеров США) снижается на 0,12%, до 104,11 пункта.             Ослабление доллара делает золото более доступным для покупки в другой валюте.         Рынки продолжают ждать заседание           Федеральной резервной системы (ФРС) США          .           По данным                      CME Group           , 93% аналитиков ждут в сентябре сохранения ставки                      ФРС           на текущем уровне в 5,25-5,5% годовых.",золото;серебро,
https://1prime.ru/commodities/20230904/841652785.html,"Рынок золота на Мосбирже за восемь месяцев вырос в 2,8 раза",2023-09-04 12:00:00,"МОСКВА, 4 сен —             ПРАЙМ            .                Физический объем сделок с золотом на                      Московской бирже           по итогам января-августа 2023 года вырос в 2,8 раза (+180,3%) в сравнении с аналогичным периодом годом ранее — до 46 тонн, по серебру — вырос в 2,3 раза (+134,8%), до 95,8 тонны, сообщает биржа.                                                      В денежном выражении на           Московской бирже                      в январе-августе 2023 года заключено сделок с золотом и серебром на общую сумму 247,9 миллиарда рублей против 66,4 миллиарда рублей в аналогичный период годом ранее.           Объем торгов в августе текущего года составил 53,5 миллиардов рублей – 8,9 тонны на рынке золота и 16,2 тонны на рынке серебра (на 1,2 миллиарда рублей).                        По итогам 2022 года на                         Московской бирже         было заключено сделок с золотом и серебром на общую сумму 122,8 миллиарда рублей, а физический объем составил 32,3 тонны и 78,7 тонны соответственно.             В 2021 году было заключено сделок на 209,2 миллиарда рублей, объем торгов золотом составил 48,5 тонны, а серебром — 40,2 тонны.                                                                                                                                                                                                                                           Поставочные торги драгоценным металлами были запущены на                         Московской бирже         в октябре 2013 года.             Поставка золота и серебра по результатам биржевых торгов осуществляется по счетам участников в драгоценных металлах, открытым в                  НКО НКЦ (АО)         , выступающей в роли центрального контрагента, клиринговой и расчетной организации на рынке, а также осуществляющей неторговые операции с участниками по приему-выдаче слитков драгоценных металлов в биржевом хранилище.                   Участниками биржевого рынка золота и серебра являются на сегодняшний день 98 организаций: 56 банков, 33 профучастника рынка ценных бумаг (брокерские компании и их клиенты), 7 золотодобывающих компаний, страховая компания, а также                         Банк России         , который с ноября 2017 года наряду с покупкой золота на внебиржевом рынке выставляет заявки на покупку золота на торгах                  Московской биржи         .",золото;серебро,
https://iz.ru/1569016/2023-09-04/nazvany-prichiny-rosta-stoimosti-nefti-marki-brent,Названы причины роста стоимости нефти марки Brent,2023-09-04 12:00:00,"Стоимость фьючерсных контрактов на нефть марки Brent с поставкой в ноябре на лондонской бирже                                   ICE                  поднялась выше $89 за баррель впервые с 23 января.                   Финансовый аналитик              BitRiver                 Владислав Антонов       рассказал «              Известиям       » 4 сентября о том, что повлияло на рост цены.               По его словам, среди таких факторов: ожидания инвесторов по поводу возможного сокращения добычи нефти странами                    ОПЕК+            , а также удешевление доллара, которое делает нефть более доступной для покупки в других валютах.          Кроме того, сырье дорожает на фоне позитивных экономических данных из Китая и США, уточнил аналитик.       Так, индекс PMI (индекс деловой активности) в промышленности КНР вырос до 51 пункта в августе с 49,2 пункта месяцем ранее.          В то время как в Соединенных Штатах Америки отчет по рынку труда показал увеличение безработицы, что снижает вероятность повышения ключевой ставки              Федеральной резервной системы       , добавил эксперт.               По его мнению, повышение цен на нефть выше $89 на рынке вызовет может вызвать рост до $100 за баррель.              Он подчеркнул, что стоимость котировок будет зависеть в том числе от ключевых экономических показателей.          «Уже завтра, во вторник, ожидается выход индекса деловой активности в сфере услуг              Caixin       за август по Китаю.          Этот индикатор отражает настроения в третьем по величине потребителе нефти в мире.          В среду в фокусе внимания будут данные от              ISM       по сфере услуг в США.      Показатель важен для оценки состояния экономики крупнейшего мирового импортера нефти.       Также в среду американское              Управление энергетической информации       опубликует очередной еженедельный отчет об уровне запасов сырой нефти в США по состоянию на 1 сентября», — добавил              Антонов       .          Ранее, 30 июня, экономист, директор по коммуникациям              BitRiver                 Андрей Лобода       рассказал «              Известиям       », что если в Соединенных Штатах Америки не будет рецессии, то стоимость нефти преодолеет барьер в $100.          При этом, по его словам, в случае развития опережающими темпами экономик Индии и КНР осенью цена может достичь $120 за баррель.",нефть brent,
https://iz.ru/1568989/2023-09-04/tcena-nefti-brent-vpervye-s-ianvaria-prevysila-89-za-barrel,Цена нефти Brent впервые с января превысила $89 за баррель,2023-09-04 12:00:00,"Стоимость фьючерсных контрактов на нефть марки Brent с поставкой в ноябре на лондонской бирже                           ICE            поднималась выше $89 за баррель впервые с 23 января.          Это следует из данных торгов.            По данным биржи на 18:02 мск, цена марки росла на 0,28% и поднималась $89,02 за баррель.              К 18:10 мск фьючерс на Brent торговался на уровне $88,97 (+0,23%).          Нефть марки WTI с поставкой в октябре также росла и составляла $85,97 за баррель.                     До этого, 1 сентября, биржевая цена нефти марки Brent поднималась до $87.                              В конце августа специалист по международным финансовым рынкам маркетплейса «                           Финмир                  »                           Георгий Свирин                  в беседе с «                           Известиями                  » отметил, что нефть марки Brent в начале осени может превысить $87 за баррель.                   При прохождении диапазона цен от $87,5 до $88,3 и закреплении выше цена на нефть может обновить максимум 2023 года, расположенный на уровне $89,7, допустил эксперт.",нефть wti;нефть brent,
https://1prime.ru/Financial_market/20230904/841654287.html,"Российский рынок акций вырос, обновив максимум с февраля 2022 года",2023-09-04 12:00:00,"МОСКВА, 4 сен —               ПРАЙМ                              ,               Дмитрий Майоров                              .                           Российский рынок акций в понедельник продолжил расти, обновив максимум с февраля прошлого года по основному биржевому индексу, следует из данных торгов и комментариев экспертов.                                            Рублевый индекс                                       Мосбиржи                  к закрытию торгов поднялся на 1,16%, до 3268,97 пункта — максимума с февраля прошлого года, долларовый                              РТС                  — на 0,76%, до 1063,41 пункта.                             С 19.00 до 23.50 на фондовой секции                              Мосбиржи           проходит вечерняя торговая сессия, в ходе которой не отмечается существенного изменения динамики основного индекса против закрытия.                                                                                                                                                                                                                                                                                     РЫНОК ИДЕТ ВВЕРХ                          Российский рынок акций в понедельник обновил максимум за полтора года по индексу                              Мосбиржи           .                ""Динамика роста рынка выглядела фронтальной.                     Позитивные результаты компаний, опубликованные за последнее время, стабильно слабый рубль, ценовой оптимизм нефти и дивидендные ожидания продолжают двигать котировки акций вверх.                   Индекс             Мосбиржи            переписал максимум с февраля-2022"", — комментирует             Александр Бахтин            из ""             БКС Мир инвестиций            "".                                                                                                                                                  Стоимость нефти к 20.02 мск росла на 0,5%, до 89 долларов за баррель сорта Brent — к максимуму с декабря 2022 года.                      Западные фондовые рынки менялись разнонаправленно в пределах 0,3%.             Индекс доллара (курс доллара к корзине валют шести стран — торговых партнеров США) терял 0,1%, до 104,1 пункта.                                     На                                       Московской бирже                  в основную сессию выросли бумаги ""                              Русагро                  "" (+8,5%), ""                              Руснефти                  "" (+5,1%), ""                              Русала                  "" (+4,5%), расписки                              VK                  (+3,7%) и                              TCS                  (+3,5%).                             Упали бумаги                              НМТП                  (-1,4%), ""                              Юнипро                  "" (-1,1%), ""                              Эталона                  "" (-0,4%).                                                                                                                                                                ПРОГНОЗЫ                          Индекс                              Мосбиржи           выглядит лишь немного перекупленным, в целом сохраняя курс на новые локальные максимумы, считает                      Елена Кожухова           из                      ИК ""Велес капитал""           .                       ""Наш прогноз по индексу                              Мосбиржи           на 5 сентября — 3150-3300 пунктов"", — говорит                      Бахтин           .                                                                                                                                                  Во вторник индекс                              Мосбиржи           может продолжить рост и протестировать отметку 3300 пунктов при поддержке нефтяных котировок и слабого рубля, считает                      Владимир Лящук           из                      ПСБ           .                       ""Лучше рынка могут выступить компании нефтегазового сектора"", — добавляет он.",нефть brent,
https://1prime.ru/commodities/20230904/841653281.html,Золото дешевеет в ожидании выхода данных от ФРС,2023-09-04 12:00:00,"МОСКВА, 4 сен —             ПРАЙМ            .                Стоимость золота снижается в понедельник вечером, свидетельствуют данные торгов.                Инвесторы ожидают выхода данных от американского центробанка на торговой неделе.                                                      По состоянию на 18.25 мск цена декабрьского фьючерса на золото на нью-йоркской бирже           Comex                      снижается на 2,25 доллара, или на 0,11%, до 1 964,85 доллара за тройскую унцию. Декабрьский фьючерс на серебро дешевеет на 0,77% — до 24,372 доллара за унцию.             В среду вечером           Федеральная резервная система (ФРС) США          опубликует свою ""Бежевую книгу"" — сводку комментариев об экономическом положении в стране.           В ней инвесторы также могут найти подсказки касательно следующего шага                      ФРС           .                        Рынки ожидают заседания регулятора по учетной ставке, результаты которого огласят 20 сентября.                  По данным                  CME Group         , 93% аналитиков прогнозируют сохранение ставки на текущем уровне в 5,25-5,5% годовых.",золото;серебро,
https://www.forbes.ru/investicii/495845-cena-brent-podnalas-vyse-89-za-barrel-vpervye-s-23-anvara,Цена Brent поднялась выше $89 за баррель впервые с 23 января,2023-09-04 12:00:00,"Цена нефти эталонной марки Brent на лондонской бирже                                   ICE                  4 сентября превысила $89 за баррель впервые с 23 января.                              Позже рост цен замедлился, в 18:59 мск фьючерсы Brent с поставкой в ноябре торгуются по $88,93 за баррель, с начала торгов они подорожали на 0,43%.                        Нефть WTI на                    NYMEX            в понедельник приблизилась к $86 за баррель.                   Контракты на октябрьские фьючерсы WTI выросли в цене на 0,46% в 18:58 мск они торговались по $85,9 за баррель.                         Цены на нефть укрепляются на ожиданиях, что                           ОПЕК+                  сохранит ограничения по добыче — аналитики прогнозируют, что Саудовская Аравия продлит добровольное сокращение производства на 1 млн баррелей в день на октябрь, в этом случае оно будут действовать четвертый месяца подряд, отмечает                           Reuters                  .                        Рост цен на нефть также поддерживает ослабление американского доллара, который снижается к основными мировым валютам.                   Кроме того, аналитики указывают на прогнозы, что                    ФРС            , как ожидается, прекратит агрессивное повышение ключевой ставки.                                        31 августа российский вице-премьер                                            Александр Новак                                 заявил, что Россия договорилась с другими странами                                            ОПЕК+                                 о новом сокращении поставок российской нефти на мировые рынки.                            Детали он не раскрыл.                         Россия в начале июля решила с 1 августа ограничить экспорт нефти на 500 000 баррелей в сутки.                                    Затем                           Новак                  объявил о планах снизить поставки нефти в сентябре на 300 000 баррелей в сутки.                   Он пояснял, что снижение будет рассчитываться к уровню июня.               В июне Россия, Саудовская Аравия и другие страны — члены                    ОПЕК+            договорились продлить ограничения на добычу нефти на 2024 год: суммарный уровень добычи странами                    ОПЕК+            составит 40,46 млн баррелей в сутки, на 1,4 млн баррелей меньше, чем сейчас.",нефть wti;нефть brent,
https://1prime.ru/News/20230904/841645746.html,Рубль немного снижается к доллару при отсутствии изменений к другим валютам,2023-09-04 12:00:00,"МОСКВА, 4 сен —             ПРАЙМ            .          Курс рубля немного снижается по отношению к доллару в первой половине торгов понедельника, при этом цена за отечественную валюту существенно не меняется по отношению к юаню и евро: иностранные валюты торгуются по 96,48, 13,27 и 104,28 рубля соответственно, следует из данных           Московской биржи          .                                   Нефть поддержит рубль                                       Курс доллара расчетами ""завтра"" на 10.41 мск растет на 39 копеек, до 96,48 рубля, юаня — на 1 копейку, до 13,27 рубля, евро дорожает на 13 копеек, до 104,28 рубля.                          Ноябрьский фьючерс на нефть марки Brent в это же время почти не меняется к закрытию пятницы — 88,56 доллара за баррель.                                                                                                                                                                                                                                                      ""Сегодня утром курс доллара опять инерционно пытается плавно расти и преодолеть 96,5 рубля.                  Несмотря на текущие различия позиций                  Минфина         и                  Банка России         , ожидания скорого принятия действий властей, способных укрепить рубль, остаются устойчивыми.             По моему мнению, они не позволят доллару пойти заметно выше текущих уровней.             Рассчитываем, что до новых вводных волатильность американской валюты останется невысокой, а диапазон 95,5-96,5 рублей сохранит свою актуальность"", — считает                  Евгений Локтюхов         из                  Промсвязьбанка         .                          В пятницу министр финансов России                                 Антон Силуанов               заявил, что ведомство ищет консенсус с                         Банком России               в отношении валютного контроля в стране.                  При этом он отметил, что в данный момент                  Минфин         выступает за более жесткие меры в отношении контроля за потоками валюты, а центральный банк, напротив, занял более либеральную позицию.                   ""Ждем продолжения плавного снижения курса рубля.                  Сделанные на прошлой неделе заявления глав                  ЦБ         и                  Минфина         о намерении поддержать российскую валюту оказали лишь краткосрочное воздействие на рынок.        Связано это с тем, что сейчас на российском валютном рынке мало спекулянтов, и они не могут оказать значимого воздействия на котировки.         Курс рубля же определяется реальным спросом на валюту и ее предложением.        Пока этот баланс играет не в пользу ""россиянина"", — заключил         Алексей Антонов        из компании ""         Алор брокер        "".",нефть brent,
