link,title,date,text,commodity,text_sum,commodity_score
https://rg.ru/2023/09/11/reg-dfo/alternativa-benzinu.html,Альтернатива бензину,2023-09-10 12:00:00,"11.09.2023 01:09 Газомоторное топливо(ГМТ)- один из самых перспективных видов энергоресурсов для транспорта. От бензина его отличают более высокая энергетическая эффективность и экологическая чистота, а также низкая цена. С каждым годом количество работающих на газе автомобилей растет. Число автомобильных газозаправочных станций(АГЗС) за десять лет в стране увеличилось втрое, большинство сосредоточено в центральных и западных регионах. Федеральные компании и частный бизнес начали активно развивать необходимую инфраструктуру и на Дальнем Востоке. Компания""Трансгаз"" первая в ДФО наметила вектор развития на формирование сети газовых заправок от Якутии до Владивостока. Уже построено и введено в эксплуатацию восемь АГЗС, из них шесть в Приморском крае и две в Хабаровском, в течение трех лет планируется увеличить сеть до 45 АГЗС. На Всероссийском газомоторном форуме правительство РФ поставило задачу максимально расширить потребление газа на внутреннем рынке, в том числе за счет использования ГМТ. Министерство энергетики готовит концепцию развития рынка газомоторного топлива до 2035 года и""дорожную карту"" по ее реализации. Планируется существенно увеличить объемы производства, переоборудовать технику на ГМТ и расширить число заправок. Инфографика""РГ""/ Рафаэль Зарипов Сегодня используют три вида газомоторного топлива: СУГ(сжиженный углеводородный газ или смесь пропана с бутаном), КПГ(компримированный природный газ, метан) и СПГ(сжиженный природный газ, метан). Для легковых машин наибольшее распространение получил СУГ. Как раз сеть таких заправок развивает""Трансгаз"". В компании считают очень перспективным делом перевод автомобилей на смесь пропан/бутан. Такое топливо не опаснее бензинового: газ легче воздуха, в случае утечки он быстро выветривается, значительно снижая риск возгорания. Его использование сокращает выбросы парниковых газов транспортными средствами более чем на 25 процентов.- На мой взгляд, более 90 процентов легковых и коммерческих автомобилей можно оснастить газобалонным оборудованием. Для японских, корейских и китайских машин- именно их на Дальнем Востоке эксплуатируется больше всего- эта задача с технической точки зрения решается легко. Причем переоборудовать можно любую модель бензинового автомобиля, в том числе гибридную. Во Владивостоке первое место по переводу на газ держат Toyota Prius и Toyota Prado,- подчеркивает генеральный директор компании""Трансгаз"" Иван Молчанов. Иван Молчанов: Перевод на газовое топливо- хорошая перспектива для тех, кто ценит автономность, финансовую экономию и болеет за экологию. Фото: Александр Сорокин Многие автомобилисты опасаются газифицировать свои машины скорее от недостатка информации. По мнению главы ООО""Трансгаз"", перевод на газовое топливо- хорошая перспектива для тех, кто ценит автономность, финансовую экономию и болеет за экологию. Иван Молчанов отмечает, что преимущество таких машин- битопливная система, возможность использовать как бензин, так и газ, выбирая в зависимости от цен на заправках, на чем выгоднее ездить в тот или иной период. По его опыту, каждый пройденный на газе километр обходится в среднем процентов на сорок дешевле, чем при поездке на бензине. Схема переоборудования машин на газ в компании отработана, она максимально надежна и проста. Для автомобилей разных классов и назначения партнеры компании""Трансгаз"" используют оборудование шестого поколения итальянского, польского, российского и китайского производств. Стоимость установки зависит от количества и объема баллонов, но в среднем варьируется от 40 до 60 тысяч рублей. Затраты окупаются в среднем за полгода.- Преимуществ у машин, работающих на газе, много,- заверяет Иван Молчанов.- Двигатель работает стабильнее и тише бензинового. Износ деталей двигателя с газобалонным оборудованием меньше на 30-45 процентов по сравнению с показателями бензинового агрегата. Моторное масло после работы на газе чище, дольше сохраняет вязкость, на 30-40 процентов увеличивается срок службы свечей от замены до замены и примерно на столько же их ресурс. Для предпринимателей, чей бизнес связан с транспортными перевозками, переход на газ- отличный способ снизить расходы на топливо и оптимизировать бизнес-процессы. Эксперты единодушны во мнении, что активное использование сжиженного газа на транспорте будет привлекать все больше инвестиций и даст импульс ускорению развития газовой промышленности в ДФО. Эта отрасль будет активно развиваться еще и потому, что международные требования к экологическим характеристикам двигателей становятся строже, это касается и России.",бензин;газ;спг;этан,"11.09.2023 01:09 Газомоторное топливо — перспективный вид энергоресурсов для транспорта. От бензина его отличают более высокая энергетическая эффективность и экологическая чистота, а также низкая цена. С каждым годом количество работающих на газе автомобилей растет. Число автомобильных газозаправочных станций(АГЗС) за десять лет в стране увеличилось втрое, большинство сосредоточено в центральных и западных регионах. Федеральные компании и частный бизнес начали активно развивать необходимую инфраструктуру и на Дальнем Востоке. Компания""Трансгаз"" первая в ДФО наметила вектор развития на формирование сети газовых заправок от Якутии до Владивостока. Уже построено и введено в эксплуатацию восемь АГЗС, из них шесть в Приморском крае и две в Хабаровском, в течение трех лет планируется увеличить сеть до 45 АГЗС. На Всероссийском газомоторном форуме правительство РФ поставило задачу максимально расширить потребление газа на внутреннем рынке, в том числе за счет использования ГМТ. Министерство энергетики готовит концепцию развития рынка газомоторного топлива до 2035 года и""дорожную карту"" по ее реализации. Планируется существенно увеличить объемы производства, переоборудовать технику на ГМТ и расширить число заправок. Инфографика""РГ""/ Рафаэль Зарипов Сегодня используют три вида газомоторного топлива: СУГ(сжиженный углеводородный газ или смесь пропана с бутаном), КПГ(компримированный природный газ, метан) и СПГ(сжиженный природный газ, метан). Для легковых машин наибольшее распространение получил СУГ. Как раз сеть таких заправок развивает""Трансгаз"". В компании считают очень перспективным делом перевод автомобилей на смесь пропан/бутан. Такое топливо не опаснее бензинового: газ легче воздуха, в случае утечки он быстро выветривается, значительно снижая риск возгорания. Его использование сокращает выбросы парниковых газов транспортными средствами более чем на 25 процентов. Его использование сокращает выбросы парниковых газов транспортными средствами более чем на 25 процентов.",12
https://www.rbc.ru/business/09/09/2023/64f9e75c9a7947b567cc9a67,Павел Тё отсудил$2 млн у вдовы Дмитрия Босова,2023-09-09 12:00:00,"Глава совета директоров девелопера Capital Group Павел Тё отсудил$2 млн у Катерины Босов, вдовы основателя « Сибантрацита » Дмитрия Босова. Эти деньги он одолжил Босов, когда она пыталась отстоять контроль в « Сибантраците » Павел Тё(Фото: Андрей Любимов/ РБК) Одинцовский городской суд Московской области удовлетворил иск председателя совета директоров одной из крупнейших российских девелоперских компаний Capital Group Павла Тё, признав, что вдова основателя « Сибантрацита » Дмитрия Босова Катерина Босов(в октябре 2022 года Минюст признал ее иноагентом) должна вернуть ему долг в$2 млн. Так заявлено в мотивировочной части решения, опубликованной на сайте суда. « Сибантрацит » — мировой лидер по добыче высококачественного антрацита UHG и крупнейший в России производитель металлургических углей. В мае 2020 года его основатель и основной владелец Дмитрий Босов покончил с собой, после этого вдова бизнесмена оформила на себя контрольный пакет в компании. Но в октябре того же года родители и сыновья Босова от предыдущих браков подали на нее в суд и к февралю 2021 года доказали свои права на контроль в « Сибантраците », который затем продали « А-Проперти » Альберта Авдоляна примерно за$1 млрд. Именно в разгар судов с другими наследниками в ноябре 2022 года Катерина Босов одолжила у Тё$2 млн в рублевом эквиваленте(тогда 154,4 млн руб. по курсу Центрального банка) и заключила договор о займе в письменном виде, следует из решения суда. Деньги могли потребоваться ей на юридические расходы при споре за наследство, сказал РБК источник, близкий к одной из сторон разбирательства. Заем был предоставлен примерно на полгода, до 1 мая 2021-го, когда Босов должна была вернуть деньги безналичным платежом в рублях по курсу ЦБ на дату возврата(1 мая 2021 года — 149,7 млн руб.). Ее представитель в суде не оспаривал факт заключения договора займа и предоставления по нему денежных средств. «Однако ответчик обязательства не исполнила, денежные средства в установленный договором срок возвращены не были», — говорится в документе. Суд решил, что Босов должна вернуть Тё всю сумму займа — 149,7 млн руб. Глава совета директоров Capital Group также требовал выплатить накопившиеся проценты в размере около 21 млн руб. Но суд удовлетворил это требование лишь частично и присудил дополнительно 12,5 млн руб., а также 60 тыс. руб. расходов на оплату госпошлины. Представитель вдовы основателя « Сибантрацита » не согласился с размером заявленных к взысканию процентов и счел такие требования необоснованными и не основанными на законе, говорится в решении суда. Босов подала апелляцию на решение Одинцовского суда, она еще не рассмотрена. Представитель Capital Group отказался от комментариев. РБК направил запрос в адвокатское бюро « Жданов, Койда, Рубальский и партнеры », которое представляло Катерину Босов в судах с другими наследниками, с ней самой на момент публикации связаться не удалось.",уголь,Павел Тё отсудил$2 млн у вдовы Дмитрия Босова,3
https://tass.ru/ekonomika/18718095,"На Восточном полигоне объем контейнерного импорта обогнал экспорт в 2,2 раза",2023-09-11 12:00:00,"ВЛАДИВОСТОК, 11 сентября./ ТАСС/. Разбалансировка железнодорожного контейнерного импорта и экспорта наблюдается с лета 2022 года на дальневосточном направлении- импорт в 2,2 раза превышает экспорт. Об этом сообщила генеральный директор ООО""Универсальная логистика"" Ирина Ольховская на Восточном экономическом форуме(ВЭФ) на сессии, посвященной развитию Восточного полигона.""На дальневосточном направлении с лета 2022 года наблюдается разбалансировка железнодорожного контейнерного импорта и экспорта, импорт в 2,2 раза превышает экспорт. В сравнении с 2018 годом на дальневосточном направлении грузопоток контейнеров, зерна и руды вырос практически в три раза, в то время как угля- на 18%. При этом за счет технологии погрузки импортных контейнеров в полувагоны из-под угля участникам рынка удалось за восемь месяцев 2023 года сэкономить более 1 млрд рублей и дополнительно провезти почти 5 млн тонн грузов"",- сказала Ольховская. Она отметила, что портовые мощности Дальневосточного бассейна уже вдвое превышают провозную способность железнодорожных подходов и этот разрыв увеличивается. Дефицит провозной способности железнодорожных подходов уже оценивается в 95 млн тонн в год, в 2025-2027 годах он может достичь 187 млн тонн в год даже с учетом планов по развитию Восточного полигона. Несмотря на то, что за последние годы темпы строительства новой железнодорожной инфраструктуры и модернизации Восточного полигона возросли, их недостаточно для обеспечения растущих потребностей российской экономики. По мнению Ольховской, необходимо развивать отдельные припортовые станции и железнодорожные узлы, в первую очередь узел Находка- Восточный, с которым связаны крупнейшие терминалы Дальнего Востока. А строительство обходов Шкотово- Смольяниново, Хмыловский- Находка- Восточный, Тигровый- Партизанск и Смоляниново- Тигровый позволит в короткие сроки увеличить провозную способность на данном направлении на 50 млн тонн в год. VIII ВЭФ проходит во Владивостоке с 10 по 13 сентября. Его девиз-""На пути к сотрудничеству, миру и процветанию"". Организатором мероприятия выступает Фонд Росконгресс. ТАСС- генеральный информационный партнер ВЭФ.",уголь,"ВЛАДИВОСТОК, 11 сентября. Разбалансировка железнодорожного контейнерного импорта и экспорта наблюдается на дальневосточном направлении с лета 2022 года. Импорт в 2,2 раза превышает экспорт. В сравнении с 2018 годом грузопоток контейнеров, зерна и руды вырос практически в три раза, а угля — на 18%. Несмотря на это, за восемь месяцев 2023 года участники рынка смогли сэкономить более 1 млрд рублей и провезти почти 5 млн тонн грузов. Портовые мощности Дальневосточного бассейна уже вдвое превышают провозную способность железнодорожных подходов и этот разрыв увеличивается. Дефицит провозной способности железнодорожных подходов уже оценивается в 95 млн тонн в год, в 2025-2027 годах он может достичь 187 млн тонн в год даже с учетом планов по развитию Восточного полигона. Несмотря на то, что за последние годы темпы строительства новой железнодорожной инфраструктуры и модернизации Восточного полигона возросли, их недостаточно для обеспечения растущих потребностей российской экономики. По мнению Ольховской, необходимо развивать отдельные припортовые станции и железнодорожные узлы, в первую очередь узел Находка- Восточный, с которым связаны крупнейшие терминалы Дальнего Востока. А строительство обходов Шкотово- Смольяниново, Хмыловский- Находка- Восточный, Тигровый- Партизанск и Смоляниново- Тигровый позволит в короткие сроки увеличить провозную способность на данном направлении на 50 млн тонн в год. VIII ВЭФ проходит во Владивостоке с 10 по 13 сентября. Его девиз-""На пути к сотрудничеству, миру и процветанию"". Организатором мероприятия выступает Фонд Росконгресс. ТАСС- генеральный информационный партнер ВЭФ.",13
https://1prime.ru/Financial_market/20230911/841710123.html,Медь дорожает на двух факторах,2023-09-11 12:00:00,"МОСКВА, 11 сен — ПРАЙМ. Цена на медь в понедельник поднимается более чем на 1% после выхода статистики из Китая, а также на ослаблении доллара к мировым валютам, свидетельствуют данные торгов. По состоянию на 7.56 мск декабрьский фьючерс на медь на бирже Comex дорожал на 1,21% — до 3,759 доллара за фунт(около 0,45 килограмма). На Лондонской бирже металлов(LME) по итогам торгов пятницы стоимость тонны меди с поставкой через три месяца уменьшилась на 0,94% — до 8 242,5 доллара, алюминия — на 0,57%, до 2 183,5 доллара, цинка — на 1,45%, до 2 443,5 доллара. Инвесторы обратили внимание на статистику по инфляции Китая, крупного потребителя меди, опубликованную в выходные. Так, годовая инфляция в стране в августе ожидаемо составила 0,1%, по итогам июля потребительские цены снизились при этом на 0,3%. Индекс доллара(курс к корзине валют шести стран — торговых партнеров США) в то же время опускался на 0,45%, до 104,61 пункта. Ослабление доллара поддерживает спрос на сырьевые товары, в том числе медь, делая их более доступными для покупки в другой валюте.",цинк;алюминий;медь,"Цена на медь в понедельник повышается более чем на 1% после выхода статистики из Китая, а также на ослаблении доллара к мировым валютам. По состоянию на 7.56 мск декабрьский фьючерс на медь на бирже Comex дорожал на 1,21% — до 3,759 доллара за фунт(около 0,45 килограмма). На Лондонской бирже металлов(LME) по итогам торгов пятницы стоимость тонны меди с поставкой через три месяца уменьшилась на 0,94% — до 8 242,5 доллара, алюминия — на 0,57%, до 2 183,5 доллара, цинка — на 1,45%, до 2 443,5 доллара. Инвесторы обратили внимание на статистику по инфляции Китая, крупного потребителя меди, опубликованную в выходные. Так, годовая инфляция в стране в августе ожидаемо составила 0,1%, по итогам июля потребительские цены снизились при этом на 0,3%. Индекс доллара(курс к корзине валют шести стран — торговых партнеров США) в то же время опускался на 0,45%, до 104,61 пункта. Ослабление доллара поддерживает спрос на сырьевые товары, в том числе медь, делая их более доступными для покупки в другой валюте.",5
https://1prime.ru/Forex/20230911/841716584.html,Рубль в начале недели растет на новостях с ВЭФ,2023-09-11 12:00:00,"МОСКВА, 11 сен — ПРАЙМ, Дмитрий Майоров. Российская валюта в понедельник уверенно растет к основным валютам, торгующимся на Московской бирже, опираясь на позитивные новости, приходящие с Восточного экономического форума(ВЭФ), следует из данных торгов и комментариев экспертов. Курс доллара расчетами""завтра"" на 17.07 мск падал на 2,11 рубля, до 95,68 рубля, евро – на 1,97 рубля, до 102,83 рубля, юаня – на 17 копеек, до 13,09 рубля, свидетельствуют данные Московской биржи. Объем торгов юанями при этом составлял 129,1 миллиарда рублей против 38,2 миллиарда по евро и 109,3 миллиарда по доллару. Доллар при этом падал к рублю на 2,1%, юань — на 1,3%, евро — на 1,8%. РУБЛЬ НАХОДИТ ПОДДЕРЖКУ Курс российской валюты в понедельник растет на фоне заявлений, поступающих с ВЭФ. Так, помощник президента России Максим Орешкин сказал, что пик ослабления рубля уже пройден, сейчас факторы складываются в пользу его укрепления, в том числе власти работают над мерами по ограничению оттока капитала. Импорт товаров и услуг пойдет немножко вниз к концу года, экспорт сильно увеличится, потому что цены на нефть восстановились, считает он. Это восстановление будет вести к улучшению текущего счета, и понятно, что оттоки капитала — в связи с теми же решениями ЦБ — рост ключевой ставки, макропруденциальные меры, которые ЦБ применяет, это будет сдерживать кредитование и отток капитала соответственно, пояснил Орешкин.""Кроме того, глава ВТБ Андрей Костин заявил, что его банк и Сбербанк научились конвертировать рупии, которые остаются на счетах российских экспортеров, в рубли. Ранее такие суммы не доходили до внутреннего рынка, что могло выступать дополнительным драйвером ослабления рубля"", — говорит Дмитрий Бабин из"" БКС Мир инвестиций"". Стоимость нефти к 17.07 мск росла на 0,2%, до 90,9 доллара за баррель сорта Brent. Индекс доллара(курс доллара к корзине валют шести стран — торговых партнеров США) падал на 0,5%, до 104,6 пункта, сигнализируя о глобальном спросе на риск. ПРОГНОЗЫ Поддержку рублю оказывает постепенное улучшение ситуации с предложением иностранной валюты, считает Бабин из"" БКС Мир инвестиций"".""Помимо исполнения договоренности с властями, направленной на стабилизацию рубля, экспортеры могут наращивать объем продаваемой валюты благодаря увеличению экспортной выручки, которое должно происходить за счет существенного подорожания нефти в последние месяцы"", — добавляет он. Андрей Кочетков из компании"" Открытие инвестиции"" отметил рост объёмов торгов, хотя до подготовки к налоговым платежам ещё далеко.""То есть можно говорить об увеличении продаж экспортёрами в рамках соглашения с правительством, или о поступлении июльских и августовских доходов от нефти, когда""ломался"" потолок цен, установленный G7. Кроме того, рост доходностей рынка ОФЗ в ожидании повышения ставки ЦБ РФ предлагает альтернативу для размещения рублёвых средств. Соответственно, текущие факторы начинают больше работать в пользу рубля"", — резюмирует он. В краткосрочной перспективе курс доллара будет находиться в диапазоне 94-98 рублей, полагает Антон Пустовойтов из УК""Первая"".",нефть brent,Рубль в начале недели растет на новостях с ВЭФ,11
https://1prime.ru/Financial_market/20230911/841710779.html,Золото дорожает на фоне удешевления доллара,2023-09-11 12:00:00,"МОСКВА, 11 сен — ПРАЙМ. Стоимость золота в понедельник утром демонстрирует умеренный рост, пока американская валюта слабеет, свидетельствуют данные торгов. По состоянию на 8.22 мск цена декабрьского фьючерса на золото на нью-йоркской бирже Comex растет на 7,15 доллара, или на 0,37%, до 1 949,95 доллара за тройскую унцию. Декабрьский фьючерс на серебро дорожает на 0,85% — до 23,372 доллара за унцию. Росту котировок золота может способствовать ослабление доллара, делающее его более доступным для покупки в другой валюте. Так, доллар слабеет к евро, а его курс к иене падает в понедельник утром на 1%. А индекс доллара(курс к корзине валют шести стран — торговых партнеров США) снижается на 0,12%, до 104,11 пункта. Мировые рынки продолжают также ждать заседания Федеральной резервной системы(ФРС) США. По данным CME Group, 93% аналитиков ждут в сентябре сохранения учётной ставки на текущем уровне в 5,25-5,5% годовых.",золото;серебро,"Суммаризация новости:

Цена золота в Нью-Йорке растет на 7,15 доллара, или на 0,37%, до 1 949,95 доллара за тройскую унцию. Декабрьский фьючерс на серебро дорожает на 0,85% — до 23,372 доллара за унцию. Росту котировок золота способствует ослабление доллара, делающее его более доступным для покупки в другой валюте. Курс доллара к евро падает на 1%, а курс к иене снижается на 0,12%. 93% аналитиков ждут в сентябре сохранения учётной ставки на текущем уровне в 5,25-5,5% годовых.",5
https://rg.ru/2023/09/09/chto-budet-s-rublem-neftiu-i-birzhej-na-nedele-s-11-po-17-sentiabria.html,"Что будет с рублем, нефтью и биржей на неделе с 11 по 17 сентября",2023-09-09 12:00:00,"09.09.2023 03:00 Рубль пока не найдет поводов подорожать, цены на нефть попытаются закрепиться выше 90 долларов за баррель, а инвесторы могут устроить""охоту"" за подешевевшими активами. Об этом рассказали""Российской газете"" финансовые аналитики. Рубль Михаил Васильев, главный аналитик Совкомбанка:- На предстоящей неделе мы ожидаем боковой динамики рубля и закрепления курса вблизи текущих уровней. Предполагаемый торговый диапазон составляет 96-100 руб. за доллар, 103-107 руб. за евро, 13-13,6 руб. за юань. Рубль продолжает умеренно слабеть, несмотря на растущие нефтяные цены, сохраняющиеся продажи валюты со стороны экспортеров в рамках неформальных договоренностей и продажи юаней из резервов на 2,3 млрд руб. в день в рамках бюджетных операций. Текущих объемов предложения валюты по-прежнему не хватает, чтобы удовлетворить все еще высокий спрос на валюту для закупки импорта и для оттока капитала. Ослабление рубля и движение к отметке 100 руб. за доллар усиливает инфляционные ожидания и повышает риски того, что Банк России не вернет инфляцию к целевым 4% к концу 2024 года. Поэтому мы ожидаем, что ЦБ 15 сентября повысит ключевую ставку на 200 базисных пунктов, до 14% годовых. Увеличение ключевой ставки повысит привлекательность рублевых сбережений, охладит кредитование и снизит спрос на валюту для закупки импорта в ближайшие месяцы. Определенным риском для рубля могло бы стать предстоящее 16 сентября погашение валютной еврооблигации РФ на$3 млрд. Однако для предотвращения этих рисков Банк России с 14 по 22 сентября временно увеличит продажи юаней из резервов до 21,4 млрд руб. в день с 2,3 млрд руб. Это поможет сгладить колебания рубля из-за вероятного временного увеличения спроса на валюту. Нефть Владимир Евстифеев, начальник аналитического управления банка""Зенит"":- Нефтяной рынок продолжает игнорировать укрепление доллара и рост опасений за мировую экономику на фоне высокого уровня базовых процентных ставок. Поддержку котировкам оказало решение России и Саудовской Аравии продлить добровольное сокращение предложения по нефти суммарно на 1,3 млн баррелей в сутки до конца текущего года. Спрос на нефть в текущем полугодии высокий, несмотря на ожидание торможения роста глобального ВВП. Рынок остается дефицитным, что позволяет удерживать высокий уровень цен. Кроме того, Китай продолжает предпринимать меры для поддержки восстановления экономики. Несмотря на относительно слабые базовые макропоказатели, спрос на нефть со стороны КНР в августе вырос на 31% год к году и на 21% к июлю. Котировки нефти, вероятно, продолжат попытку закрепиться выше уровня$90 за баррель Brent. Рынок изолируется от общего бегства в защитные активы, поэтому способен продемонстрировать самостоятельный рост. Наиболее логичным в текущих условиях выглядит диапазон$88-93 за баррель Brent. Биржа Александр Бахтин, инвестиционный стратег""БКС Мир инвестиций"":- Российский рынок акций пережил волатильную неделю. Переписав максимум года всего в 13 пунктах от круглого рубежа 3300 пунктов, индекс Мосбиржи к концу торговой пятидневки скорректировался вниз в направлении 3100 пунктов. Сказались как технический перегрев акций, так и резкий рост доходностей облигаций, которые для многих стали интереснее по соотношению""риск-доходность"". Кроме того, на рынке присутствуют ожидания того, что ЦБ через неделю еще раз повысит ставку с целью стабилизировать курс рубля и противодействовать проинфляционному тренду. Также на будущей неделе регулятор начнет проводить значительные интервенции. Более крепкий рубль и дальнейший рост доходностей на облигационном рынке- не самые лучшие новости для рынка акций. В последнее время не баловал позитивом и внешний фон: статистика выходила чаще негативная, в США рынок акций также развернулся вниз, а индекс доллара DXY вышел на максимумы за полгода. Тем не менее на будущей неделе мы видим скорее сценарий отскока, нежели уход в более глубокую коррекцию. Во-первых, несмотря на давление глобального доллара, цены на нефть остаются на относительно комфортных уровнях, и на данный момент не видно причин, по которым бы они сильно изменились в краткосрочной перспективе. Во-вторых, рынок в основном сбросил перегретость, и на текущих уровнях может найтись немало инвесторов, желающих подхватить подешевевшие бумаги. В-третьих, компании возвращаются к раскрытию отчетностей, что само по себе позитивно, но и сами результаты во многих случаях внушают оптимизм. Не будем забывать и про высокие дивидендные ожидания. Поворотным моментом может стать понедельник, когда обычно реализуется отложенный с конца предыдущей недели спрос. Кроме того, в этот день тяжеловес""Сбер"" опубликует финансовые результаты по РПБУ за август 2023 года. Учитывая вес бумаги в индексе, положительные результаты компании могут поддержать восстановительное движение рынка. В целом же предстоящая неделя будет не сильно насыщенной корпоративными событиями. Во вторник будет прекращен листинг ГДР VK на Лондонской бирже. Внешний фон может быть неустойчивым в преддверии важных событий- 14 сентября пройдет заседание ЕЦБ, не за горами и заседание ФРС 20 сентября. Вероятность повышения ставок американским регулятором сейчас оценивается в 7%, тем не менее она беспокоит инвесторов. Из экономической статистики и публикаций недели выделим сентябрьский индекс экономических настроений Германии и еврозоны от ZEW, ежемесячный отчет ОПЕК, краткосрочный прогноз ситуации на рынках энергоносителей от EIA(вторник), индекс потребительских цен США за август(среда), данные по розничным продажа в Штатах за август и недельный отчет по числу первичных заявок американцев на получение пособий по безработице(четверг), а также блок данных по КНР за прошлый месяц, в том числе уровень безработицы и темпы роста промпроизводства(пятница).",нефть brent,"Что будет с рублем, нефтью и биржей на неделе с 11 по 17 сентября",9
