;Resource;SPOT;1M diff.;YTD diff.;Cons-s'23
0;Brent;86.40;0.0%;0.5%;89.41
1;WTI;112.8;0.0%;0.0%;
2;Urals;79.28;;;
3;LNG Japan/Korea;11.04;;;
4;Gold spot;1912;0.0%;4.8%;1762
5;Copper LME spot price;8349;0.0%;-0.3%;8018
6;Aluminium LME spot;2205;0.0%;-7.7%;2431
7;Nickel LME spot;20400;0.0%;-31.8%;22918
8;Palladium LME spot;1276;0.0%;-29.0%;1900
9;Platinum LME spot;911.8;0.0%;-15.1%;1064
10;Zinc LME spot;2451;0.0%;-17.6%;3038
11;Lead LME spot;2132;0.0%;-8.8%;2037
12;Silver spot;22.70;0.0%;-5.3%;21.99
13;Cobalt LME spot;33420;0.0%;-35.7%;52452
14;Iron ore 62% Fe CFR China;104.8;0.0%;-9.3%;101.6
15;Tin LME spot;26975;0.0%;8.3%;
16;Generic 1st UxC Uranium Price;56.75;0.0%;16.2%;
17;6,000kcal, CIF ARA;106.3;0.0%;-55.9%;
18;HCC FOB Australia;242.0;0.0%;-5.5%;
19;HRC FOB Black Sea;530.0;0.0%;-10.2%;
20;Pig Iron, FOB Black Sea;335.0;0.0%;-48.5%;
21;Rebar, Russia domestic;505.1;0.0%;22.0%;
22;Scrap Russia domestic;309.1;0.0%;15.7%;
23;Scrap FOB Black Sea;285.0;0.0%;-4.7%;
24;Electricity price Russia - Europe;1723;0.0%;9.6%;
25;Electricity price Russia - Siberia;1042;0.0%;-25.8%;
26;Ammonia, CFR Tampa;1100;0.0%;0.0%;
